sale_price,lot_area,overall_qual,year_built,roof_style,mas_vnr_area,total_bsmt_sf,central_air,garage_area,misc_val
271500,10440,6,2005,Gable,0,1468,Y,528,0
233000,10142,7,2004,Gable,0,956,Y,618,0
181000,11920,7,2004,Gable,122,831,Y,484,0
205000,8880,7,1994,Gable,0,948,Y,463,0
143000,8012,6,1980,Gable,0,923,Y,264,0
189000,11218,6,1992,Gable,0,1055,Y,462,400
99500,7892,6,1979,Gable,0,918,Y,264,0
125000,7175,6,1984,Gable,0,744,Y,264,0
194500,9453,7,1993,Gable,0,996,Y,457,0
152000,9672,6,1984,Hip,0,1040,Y,480,0
171000,8400,6,1980,Gable,130,650,Y,476,0
67500,9800,5,1920,Gable,0,816,N,429,0
112000,8930,6,1978,Gable,0,0,Y,539,0
148000,11782,5,1961,Gable,0,1109,Y,576,400
138500,8450,5,1965,Gable,0,894,Y,336,0
122000,9819,5,1967,Gable,31,882,Y,280,0
133000,7500,5,1963,Gable,0,1040,Y,308,0
127000,6897,5,1962,Gable,0,1040,Y,260,0
169000,15410,6,1974,Hip,250,1208,Y,461,0
190000,10186,7,1992,Gable,0,750,Y,564,0
362500,13143,8,1993,Gable,504,1231,Y,762,0
285000,11134,8,1992,Gable,180,1390,Y,713,0
260000,4835,7,2004,Gable,0,1488,Y,506,0
190000,3515,7,2004,Gable,0,840,Y,588,0
155000,3215,7,2004,Gable,120,600,Y,480,0
151000,3182,7,2004,Gable,0,600,Y,480,0
149500,2544,7,2004,Gable,0,600,Y,480,0
152000,2544,6,2005,Gable,216,600,Y,480,0
222000,4403,7,2009,Gable,432,1470,Y,484,0
177500,2117,6,2000,Gable,216,756,Y,440,0
177000,2980,6,2000,Gable,1159,756,Y,440,0
155000,2572,7,1999,Hip,0,696,Y,484,0
147110,2403,7,2003,Gable,0,530,Y,496,0
267916,12853,8,2010,Gable,0,1642,Y,852,0
254000,7379,8,2000,Gable,0,975,Y,592,0
155000,4420,8,1980,Gable,0,728,Y,484,0
206000,3880,8,1978,Gable,0,1226,Y,484,0
130500,13517,6,1976,Gable,289,725,Y,475,0
230000,8000,7,2002,Gable,0,1492,Y,596,0
218500,10456,6,1967,Hip,120,1829,Y,535,0
243500,10791,6,1993,Gable,0,1280,Y,660,0
205000,10603,6,1977,Gable,28,1610,Y,480,0
212500,18837,6,1978,Gable,0,1224,Y,678,0
196500,10421,7,1988,Gable,42,980,Y,496,500
197500,9360,6,1972,Hip,0,1161,Y,676,0
171000,9600,6,1971,Gable,0,715,Y,441,0
142250,9600,5,1966,Hip,172,1232,Y,490,0
143000,9790,6,1963,Hip,451,1328,Y,528,0
128950,9320,4,1959,Gable,0,950,Y,0,400
159000,9900,5,1966,Hip,0,1209,Y,504,0
178900,9680,5,1967,Gable,268,1510,Y,517,0
136300,10600,6,1964,Gable,0,533,Y,480,0
180500,14112,5,1964,Hip,86,1152,Y,484,0
137500,8800,6,1963,Gable,156,936,Y,480,0
84900,13260,5,1962,Hip,144,1728,Y,0,0
142125,9717,5,1950,Hip,0,1078,Y,240,0
197600,9724,5,1952,Gable,265,1140,Y,400,0
172500,17360,6,1949,Gable,340,782,Y,470,0
116500,7207,5,1958,Gable,0,858,Y,0,0
76500,5350,3,1940,Gable,0,728,Y,0,450
128000,9920,5,1954,Gable,110,1056,Y,280,0
153000,9600,6,1955,Gable,164,1156,Y,364,0
132000,7800,5,1954,Gable,200,1268,Y,244,0
178000,11380,6,1966,Gable,216,1080,Y,315,1500
154300,11600,5,1960,Gable,361,1105,Y,480,0
180000,19900,7,1970,Gable,287,1947,Y,576,0
190000,16492,6,1966,Gable,0,1517,Y,578,0
135000,8267,5,1958,Gable,0,1604,Y,576,0
214000,8197,7,2003,Gable,506,1480,Y,620,300
136000,8050,5,1959,Hip,150,1143,Y,308,0
165500,10552,5,1959,Hip,0,1398,Y,447,0
145000,8400,5,1957,Gable,0,1314,Y,294,0
148000,8760,6,1959,Hip,220,1194,Y,312,0
142000,12160,5,1959,Hip,180,1188,Y,531,0
167500,9300,5,1960,Gable,324,1268,Y,461,0
108538,10725,5,1959,Hip,91,1206,Y,312,0
159500,10032,6,1959,Gable,432,1244,Y,440,0
108000,8382,4,1956,Gable,0,832,Y,263,0
135000,10950,5,1952,Gable,0,864,Y,318,0
122500,10895,5,1955,Gable,0,972,Y,305,0
119000,13587,5,1958,Gable,0,988,Y,264,0
109000,7922,5,1953,Gable,0,1057,Y,246,0
105000,7898,4,1920,Gable,0,576,Y,676,0
107500,7200,5,1955,Gable,0,0,Y,392,0
144900,10200,5,1954,Gable,104,1086,Y,490,0
129000,5868,5,1956,Gable,0,936,Y,308,0
97500,17503,6,1948,Gable,0,912,Y,330,0
144000,6979,6,1980,Gable,0,1056,Y,576,600
162000,9830,5,1959,Gable,0,1063,Y,576,0
242000,11275,7,1967,Mansard,300,710,Y,564,0
132000,8064,6,1948,Gable,0,816,Y,280,0
154000,7500,5,1959,Hip,0,1246,Y,305,0
166000,8520,5,1952,Gable,0,910,Y,720,0
134800,7200,5,1951,Gable,0,900,Y,576,0
160000,10000,6,1962,Hip,261,1116,Y,440,0
148000,7635,5,1960,Gable,0,1175,Y,484,0
192000,9760,6,1963,Hip,218,1395,Y,440,0
155000,7700,6,1966,Gable,351,756,Y,442,0
80400,4800,4,1900,Hip,771,709,Y,240,0
96500,8800,4,1910,Gable,0,576,Y,0,0
109500,4485,5,1920,Gable,0,936,Y,0,0
115000,8960,5,1927,Gable,0,1008,Y,360,0
143000,5805,5,1957,Hip,0,1347,Y,551,0
107400,5790,3,1915,Gambrel,0,840,N,379,0
80000,4608,4,1945,Gable,0,747,Y,220,0
119000,7200,5,1940,Gable,294,788,Y,240,0
130000,5500,5,1929,Gable,0,926,Y,484,0
119000,6900,6,1938,Gable,0,827,Y,240,0
129000,11851,5,1948,Gable,0,1027,Y,240,0
100000,8239,5,1920,Gable,0,1008,Y,315,0
12789,9656,2,1923,Gable,0,678,N,780,0
105900,8520,6,1928,Gable,0,624,Y,484,0
150000,9600,8,1900,Gable,0,930,N,288,0
139000,10800,5,1915,Gable,0,686,Y,416,1200
240000,9000,8,1890,Gable,0,346,Y,624,0
76500,9045,5,1910,Gable,0,840,N,0,0
149700,7407,6,1957,Gable,0,912,Y,923,0
125500,7740,4,1910,Gable,0,622,Y,528,0
122500,11340,4,1885,Gable,0,777,Y,560,0
140750,10560,6,1922,Gable,0,738,Y,624,0
128500,5830,5,1950,Gable,0,988,Y,363,0
209500,7793,7,1922,Gable,0,1108,N,315,0
87000,5000,4,1925,Gable,0,765,N,200,0
134000,6000,6,1939,Gable,0,608,Y,240,0
128000,6000,6,1940,Gable,0,572,Y,576,0
132000,6360,5,1942,Gable,300,835,Y,240,0
139900,6000,6,1948,Gable,0,780,Y,312,0
123900,6240,5,1936,Gable,0,528,Y,624,0
138400,6240,5,1930,Gable,0,928,Y,480,0
109500,6120,6,1923,Gable,0,1124,Y,288,0
140000,10300,7,1921,Gable,0,576,Y,480,0
149500,8094,4,1915,Gable,0,888,Y,572,0
159900,12900,6,1912,Gable,0,780,Y,0,0
122000,3068,6,1920,Gable,0,662,Y,180,0
110000,8472,5,1963,Gable,0,816,N,516,0
55000,5600,4,1930,Hip,0,0,N,0,3500
140000,7630,5,1900,Gable,0,360,Y,672,0
244400,24090,7,1940,Gable,0,1032,Y,349,0
173000,15263,5,1959,Gable,90,1422,Y,365,0
107500,10632,5,1917,Gable,0,689,N,180,0
100000,9900,5,1915,Gable,0,1212,N,0,0
95000,6001,6,1940,Gable,0,600,N,231,0
93369,6449,4,1907,Gambrel,0,707,N,0,0
114900,6048,5,1910,Gable,0,856,Y,450,0
94000,6342,5,1875,Gable,0,780,N,0,0
136000,10773,4,1967,Gable,72,1832,N,0,0
136500,10778,4,1968,Hip,0,1768,N,0,0
131500,11625,5,1965,Hip,0,1039,Y,504,0
121500,11341,5,1957,Hip,180,1392,Y,528,0
125000,8521,5,1967,Gable,0,912,Y,336,0
154000,8246,5,1968,Gable,0,1060,Y,270,0
137900,7800,5,1966,Hip,47,864,Y,416,0
158000,9364,6,1969,Gable,143,663,Y,299,0
137250,7832,5,1968,Hip,0,864,Y,280,0
160250,7424,5,1978,Gable,0,1319,Y,591,0
163000,11227,5,1968,Gable,0,720,Y,480,0
158900,11616,6,1978,Hip,328,672,Y,440,0
328000,14000,7,1996,Gable,0,1306,Y,533,0
270000,20062,7,1977,Hip,0,1420,Y,690,0
85000,9259,4,1927,Gable,0,660,N,440,0
128000,9600,4,1950,Gable,0,1067,Y,436,0
260000,23595,7,1979,Shed,0,1332,Y,586,0
230000,17082,6,1978,Gable,288,1117,Y,522,0
124000,18600,3,1938,Gable,0,972,Y,480,450
83000,10625,5,1920,Gable,0,458,N,366,400
144500,11479,6,1950,Gable,0,663,Y,467,0
129000,9571,5,1956,Gable,0,1144,Y,596,0
127000,9350,4,1947,Gable,0,756,Y,209,0
128000,9525,5,1954,Gable,0,1172,Y,366,0
186000,10420,6,2009,Gable,0,1212,Y,460,0
308030,17485,7,2009,Gable,96,1508,Y,572,0
114000,11200,5,1964,Gable,0,1250,Y,504,0
84900,11100,4,1946,Gable,0,0,Y,308,0
178000,9206,6,1985,Gable,336,741,Y,476,0
270000,11980,7,1987,Gable,177,1433,Y,528,0
218000,12361,6,1993,Gable,85,946,Y,1017,0
236000,9938,7,1993,Gable,246,1050,Y,574,0
147000,9069,6,1992,Gable,0,936,Y,564,0
245350,10475,8,2008,Gable,72,1694,Y,776,0
206000,6762,7,2006,Gable,24,1187,Y,632,0
198900,10402,7,2009,Gable,0,1226,Y,740,0
187000,7360,7,2010,Gable,80,1222,Y,615,0
320000,12376,7,1990,Hip,0,1673,Y,594,0
138500,14235,6,1900,Gable,0,676,Y,484,0
155000,8816,6,1971,Gable,80,1010,Y,440,0
159000,11105,5,1996,Gable,0,870,Y,580,0
191000,9337,7,1997,Gable,0,878,Y,513,0
200500,8750,6,1998,Gable,116,804,Y,523,0
150000,15240,5,1977,Gable,0,1026,Y,308,0
161750,10900,6,1977,Gable,153,689,Y,299,450
128200,10650,5,1976,Gable,0,894,Y,308,0
127000,7480,5,1972,Gable,0,876,Y,484,0
318000,10389,8,2003,Hip,320,1978,Y,850,0
272000,11423,8,2001,Gable,479,1581,Y,670,2000
237000,9548,7,2003,Gable,223,941,Y,613,0
240000,9375,7,1997,Gable,0,1040,Y,621,0
224900,12137,7,1998,Gable,442,1649,Y,598,0
143750,4435,6,2003,Gable,170,848,Y,420,0
143000,4426,6,2004,Gable,169,848,Y,420,0
232000,10635,8,2003,Hip,171,1657,Y,502,0
213000,8400,7,2004,Gable,109,1473,Y,606,0
185500,8773,7,2004,Gable,98,1414,Y,494,0
84900,8777,3,1945,Gable,0,0,N,240,0
155891,8842,5,1954,Gable,0,381,Y,319,0
100000,9825,5,1965,Hip,0,0,N,0,0
144000,10044,5,1968,Gable,0,1196,Y,336,0
64000,11792,4,1948,Gable,0,744,N,480,0
125200,6305,6,1975,Gable,0,1008,Y,352,0
107000,7819,6,1976,Gable,0,1029,Y,672,0
90000,6410,4,1958,Hip,0,960,Y,0,0
140000,8546,4,2003,Gable,0,1121,Y,440,0
113000,8741,6,1945,Gable,0,735,Y,220,0
80000,12180,4,1941,Gable,0,672,N,280,0
144500,8562,5,1957,Hip,145,1216,Y,364,0
104000,4853,5,1924,Gable,203,1107,N,260,0
128000,6858,6,1915,Gable,0,806,N,216,0
58500,8212,3,1914,Gable,0,864,N,200,0
127000,5000,5,1924,Gable,0,1026,Y,308,0
126000,7890,6,1939,Gable,0,856,Y,399,0
160000,7200,4,1967,Flat,0,0,Y,0,500
100000,9839,5,1931,Gable,0,894,Y,0,0
169000,9638,6,1919,Gable,0,804,Y,336,0
257500,10452,7,1941,Gable,371,1528,Y,312,0
215000,15600,5,1950,Gable,430,1032,Y,484,0
266500,9042,7,1941,Gable,0,1152,Y,252,2500
335000,17500,7,1959,Gable,0,1902,Y,567,0
203135,19645,7,1994,Gable,44,423,Y,473,0
185000,3907,8,1989,Gable,0,982,Y,598,0
162500,3907,8,1989,Gable,0,1191,Y,531,0
289000,15602,7,1959,Gable,0,1501,Y,484,0
125500,5436,4,1922,Gable,0,796,Y,240,0
82000,8154,2,1941,Gable,0,480,Y,200,0
110000,9140,6,1921,Gable,0,629,Y,625,0
68400,7500,4,1920,Gable,0,698,Y,528,0
102776,8712,4,1900,Gable,0,859,Y,384,0
55993,8712,5,1952,Hip,0,540,N,504,54
50138,8712,4,1896,Hip,0,756,Y,330,0
246000,3811,8,2004,Hip,186,1594,Y,525,0
254900,11050,8,1998,Gable,0,1049,Y,741,0
190000,9620,6,1977,Gable,0,1243,Y,473,80
201000,9196,7,2003,Gable,0,1560,Y,573,0
169900,12328,6,1976,Gable,335,1012,Y,888,0
170000,12760,6,1976,Gable,0,1958,Y,776,0
160000,57200,5,1948,Gable,0,747,Y,572,0
220000,11896,7,2008,Gable,60,1336,Y,660,0
179781,9803,7,2009,Gable,0,1214,Y,520,0
174000,9802,5,2006,Gable,0,384,Y,400,0
269500,12003,8,2009,Gable,84,774,Y,680,0
214900,11316,7,2002,Gable,44,817,Y,510,0
202900,14191,8,2002,Gable,0,967,Y,431,0
378500,13214,9,2008,Hip,0,2002,Y,746,0
169000,15300,5,1965,Hip,0,1068,Y,528,0
173500,10114,5,2004,Gable,0,1430,Y,624,0
139000,9400,6,1971,Mansard,0,912,Y,0,0
166500,11875,5,1999,Gable,0,1344,Y,686,0
83500,1974,4,1973,Gable,0,546,Y,286,0
119500,2394,5,1973,Gable,0,945,Y,253,0
85000,2592,5,1976,Gable,0,536,Y,336,0
76000,1476,4,1970,Gable,0,546,Y,0,0
75500,1491,4,1972,Gable,0,630,Y,0,0
88250,1900,4,1970,Gable,0,546,Y,0,0
85500,1890,4,1972,Gable,0,546,Y,286,0
130000,6953,5,1971,Gable,0,864,Y,352,0
157900,26142,5,1962,Gable,189,1188,Y,312,0
149900,12887,5,1984,Gable,0,833,Y,495,0
159000,7700,5,1985,Gable,0,1216,Y,616,600
136000,10475,5,1991,Gable,0,624,Y,576,0
161000,10544,5,1969,Gable,0,864,Y,275,0
285000,9892,8,1994,Hip,0,1679,Y,482,0
231000,12961,6,1993,Gable,0,1152,Y,616,0
124500,13008,6,1956,Gable,0,882,Y,502,0
157000,10200,6,1974,Hip,440,1434,Y,528,0
345000,13860,8,1972,Gable,0,1952,Y,538,0
189500,10179,6,1997,Gable,0,945,Y,470,0
270000,11792,8,2003,Gable,188,1008,Y,632,0
189000,8400,7,1996,Gable,32,384,Y,390,490
377500,14892,9,2006,Gable,160,1746,Y,758,0
168500,8530,7,1995,Gable,22,384,Y,400,700
375000,7296,8,2004,Gable,0,2208,Y,564,0
278000,5664,8,2000,Gable,0,1501,Y,499,0
240000,7380,8,1998,Gable,0,1418,Y,495,0
239500,8013,8,1995,Gable,0,1587,Y,528,0
177500,8923,7,1998,Gable,0,384,Y,396,0
185000,10141,7,1998,Gable,40,832,Y,427,0
191000,7500,6,1998,Gable,0,952,Y,440,0
178000,7837,6,1993,Gable,0,799,Y,380,0
185000,9765,6,1993,Gable,68,680,Y,420,480
181316,8803,6,1994,Gable,0,707,Y,409,0
166000,7250,6,1993,Gable,45,1181,Y,430,0
178000,9636,6,1992,Gable,0,808,Y,389,0
174000,8125,6,1994,Gable,0,702,Y,343,0
173000,9248,6,1992,Gable,106,1158,Y,400,0
225000,10762,7,1999,Gable,344,978,Y,490,0
180500,11851,7,1990,Gable,0,1424,Y,500,0
187500,5814,8,1984,Gable,0,1220,Y,565,0
501837,17423,9,2008,Hip,748,2216,Y,1166,0
372500,11844,8,2008,Hip,464,2046,Y,834,0
260000,16158,7,2005,Hip,16,1530,Y,430,0
185000,11900,5,1977,Gable,157,1122,Y,567,0
260000,13005,7,1980,Gable,278,845,Y,484,0
181000,17043,6,1979,Gable,0,1362,Y,435,0
82500,11900,7,1977,Hip,209,1386,Y,544,0
215000,16635,6,1977,Gable,126,1602,Y,529,0
154000,13250,7,1978,Gable,256,832,Y,529,0
200000,10928,6,1978,Gable,101,1427,Y,484,0
249000,12388,7,1980,Gable,229,1043,Y,441,0
187500,14115,7,1980,Gable,225,1372,Y,588,0
184000,11088,6,1978,Gable,144,1140,Y,479,0
278000,9600,8,1981,Hip,0,2524,Y,542,0
157000,11880,7,1978,Gable,206,1271,Y,478,0
152000,10400,7,1976,Gable,189,1090,Y,479,0
197500,10304,5,1976,Gable,44,780,Y,484,0
240900,7000,7,2003,Gable,0,926,Y,581,0
263435,8004,8,2009,Gable,110,832,Y,552,0
220000,7500,8,2000,Gable,0,1058,Y,588,0
235000,8470,8,2002,Gable,0,972,Y,565,0
213000,9373,5,1975,Gable,161,1621,Y,478,0
167900,10140,6,1974,Hip,196,1116,Y,528,0
158000,11050,7,1975,Gable,0,1176,Y,506,0
165000,10140,6,1974,Hip,174,1064,Y,478,0
158000,10448,6,1972,Gable,333,689,Y,583,0
136000,9000,5,1974,Gable,0,896,Y,0,0
148500,8750,5,1970,Gable,76,1002,Y,902,0
156000,7930,6,1969,Gable,0,1026,Y,440,0
128000,7830,5,1970,Gable,0,1180,Y,477,0
143000,8510,5,1971,Gable,178,1043,Y,336,0
76500,7038,4,1970,Gable,0,864,Y,576,0
120500,6960,4,1970,Gable,0,864,Y,660,500
124500,8120,4,1970,Gable,0,864,Y,463,0
97000,10500,4,1971,Gable,0,864,Y,576,0
130000,9000,4,1971,Gable,0,864,Y,576,0
111000,1680,6,1973,Gable,504,483,Y,264,0
125000,2368,5,1970,Gable,312,765,Y,440,0
112000,1680,5,1971,Gable,142,630,Y,280,0
97000,1680,6,1972,Gable,425,483,Y,288,0
118000,1680,6,1972,Gable,510,483,Y,264,0
119500,1680,5,1972,Gable,268,630,Y,264,0
143750,4928,6,1976,Gable,0,958,Y,440,0
146000,2308,6,1976,Gable,0,804,Y,440,0
148500,2280,6,1976,Gable,0,855,Y,440,0
123000,2280,7,1975,Gable,0,1057,Y,440,0
147000,2308,6,1974,Gable,0,855,Y,440,0
137900,2349,6,1977,Gable,0,855,Y,440,0
147000,2364,6,1978,Gable,0,804,Y,440,0
148500,2289,6,1978,Gable,0,855,Y,440,0
138000,2364,6,1978,Gable,0,855,Y,440,0
128500,2104,7,1976,Gable,0,836,Y,345,0
100000,7150,5,1967,Gable,60,892,Y,288,0
148800,10710,5,1966,Hip,165,864,Y,656,1200
337500,12456,10,2006,Hip,230,1700,Y,786,0
462000,14257,9,2007,Hip,726,1776,Y,754,0
485000,13518,9,2008,Hip,860,1926,Y,820,0
555000,15431,10,2008,Hip,200,3094,Y,672,0
325000,13173,9,2006,Hip,300,1652,Y,840,0
256300,14230,8,2007,Gable,640,1566,Y,890,0
253293,12704,8,2008,Hip,306,2042,Y,1390,0
398800,12350,9,2009,Gable,0,1365,Y,864,0
335000,11308,9,2008,Gable,154,1104,Y,836,0
404000,12350,9,2008,Hip,450,2020,Y,896,0
402861,12220,10,2009,Hip,305,2006,Y,900,0
451950,13478,10,2008,Gable,420,1722,Y,842,0
610000,13693,10,2007,Hip,472,2630,Y,762,0
582933,13891,9,2008,Hip,424,1734,Y,1020,0
360000,11578,9,2008,Gable,302,1736,Y,834,0
296000,16870,8,2004,Hip,238,1782,Y,932,0
409900,23303,8,2007,Gable,20,1508,Y,640,0
255500,11146,8,2006,Gable,250,1709,Y,908,0
335000,10367,9,2008,Hip,284,1739,Y,927,0
274900,9591,8,2004,Hip,262,1713,Y,856,0
300000,10872,9,2006,Gable,122,1504,Y,700,0
324000,13514,9,2008,Hip,285,1774,Y,850,0
350000,8834,9,2004,Hip,216,1462,Y,738,0
280000,11362,8,2004,Gable,42,1836,Y,862,0
284000,10655,8,2003,Gable,296,3206,Y,880,0
269500,12878,7,2003,Hip,418,1760,Y,583,0
233170,9541,7,2009,Gable,268,1502,Y,644,0
386250,13472,10,2003,Hip,922,2392,Y,968,0
445000,15274,9,2003,Hip,724,2452,Y,886,0
290000,13262,8,2003,Gable,186,1082,Y,730,0
255900,9658,8,2006,Gable,383,1598,Y,871,0
213000,6904,6,2005,Gable,240,1358,Y,484,0
196000,5381,6,2005,Gable,135,1306,Y,624,0
184500,5122,6,2005,Gable,135,1306,Y,624,0
212500,10307,7,2007,Gable,176,1350,Y,484,0
230000,5001,7,2007,Gable,166,1314,Y,626,0
552000,14836,10,2004,Hip,730,2492,Y,949,0
382500,15262,8,2003,Hip,470,2200,Y,685,0
320000,7390,9,2008,Hip,308,1884,Y,649,0
248500,6472,9,2008,Hip,500,1451,Y,539,0
286500,16770,8,2002,Hip,270,1712,Y,701,0
254000,6240,8,2006,Hip,176,1324,Y,550,0
173000,3480,7,2003,Gable,163,1405,Y,478,0
173000,2268,7,2003,Gable,106,764,Y,474,0
184000,10928,7,2005,Gable,0,728,Y,390,0
167800,8918,6,2005,Gable,0,745,Y,392,0
174000,12589,6,2005,Gable,0,742,Y,390,0
174000,11911,6,2005,Gable,0,684,Y,400,0
174000,3684,7,2007,Hip,130,1373,Y,660,0
175900,3635,7,2007,Hip,130,1386,Y,660,0
192500,3182,7,2005,Gable,16,1373,Y,430,0
181000,3182,7,2005,Gable,16,1346,Y,457,0
180000,3182,7,2005,Gable,16,1220,Y,397,0
160200,3182,7,2005,Gable,11,1145,Y,397,0
188500,7795,7,2004,Gable,0,716,Y,432,0
200000,8068,6,2002,Gable,0,1010,Y,390,0
170000,9434,7,2004,Gable,0,384,Y,400,0
189500,7984,7,2004,Gable,200,868,Y,436,0
184100,7750,8,2002,Hip,0,408,Y,527,0
195500,10125,7,2004,Gable,0,846,Y,434,0
192000,8965,7,2003,Gable,0,782,Y,400,0
178000,8174,7,2003,Gable,0,698,Y,393,0
207500,5063,7,2007,Gable,166,1314,Y,626,0
236000,8795,7,2000,Gable,0,952,Y,554,0
244000,12224,6,2000,Gable,40,992,Y,390,0
167000,9734,7,2004,Gable,0,384,Y,400,0
179000,8123,6,2000,Gable,16,982,Y,463,0
190000,8433,6,2000,Gable,0,794,Y,394,0
156000,7750,7,1999,Gable,0,384,Y,400,0
245000,15896,7,1999,Gable,210,1177,Y,658,0
181000,24682,6,1999,Gable,0,841,Y,502,0
214000,8755,7,1999,Gable,298,992,Y,390,0
168000,7848,7,1999,Gable,0,384,Y,410,0
337000,9430,8,1999,Gable,673,1252,Y,856,0
403000,15138,8,1995,Gable,506,1462,Y,810,0
327000,12720,8,2000,Gable,150,1455,Y,810,0
340000,16545,8,1998,Gable,731,1284,Y,1069,0
336000,12203,8,1998,Hip,975,1225,Y,676,0
265000,10208,7,1996,Gable,921,1264,Y,889,0
315000,10750,8,1994,Hip,634,2024,Y,815,0
260000,9900,7,1993,Gable,256,1347,Y,656,0
260000,9085,7,1995,Gable,286,1070,Y,647,0
263550,11692,8,1993,Gable,372,1173,Y,623,0
402000,46589,8,1994,Hip,528,1629,Y,711,0
248000,29959,7,1994,Gable,0,973,Y,467,0
244600,9612,8,2008,Gable,72,1468,Y,898,0
275000,11194,8,2008,Gable,240,1696,Y,972,0
257500,10206,8,2008,Gable,294,1614,Y,726,0
287090,9262,8,2008,Gable,194,1573,Y,840,0
275500,10130,8,2007,Gable,260,1702,Y,844,0
245000,9139,8,2006,Hip,206,1422,Y,492,0
253000,9675,7,2005,Gable,0,1113,Y,689,0
468000,11128,9,2005,Hip,198,2458,Y,795,0
252678,8640,7,2009,Gable,0,900,Y,644,0
210000,9000,8,2008,Gable,0,768,Y,676,0
208300,7862,6,2009,Gable,0,1218,Y,676,0
229456,8640,8,2009,Gable,72,1300,Y,552,0
229800,8640,7,2008,Hip,0,1402,Y,625,0
250000,12606,9,2007,Gable,120,1530,Y,984,0
370878,9187,9,2009,Gable,162,1766,Y,478,0
238500,7500,8,2006,Gable,238,1372,Y,692,0
310000,11003,10,2008,Gable,160,1017,Y,812,0
270000,10603,8,2006,Hip,121,900,Y,782,0
252000,10574,8,2005,Gable,0,1082,Y,1043,0
